Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+Abl+Pl+LI	Aasiannilli
Aasiaat+Sem/Geo+Prop+Abl+Pl+LU	Aasiannillu
Aasiaat+Sem/Geo+Prop+Abs+Pl	Aasiaat
Aasiaat+Sem/Geo+Prop+Ins+Pl	Aasiannik
Aasiaat+Sem/Geo+Prop+Ins+Pl+LI	Aasiannilli
Aasiaat+Sem/Geo+Prop+Ins+Pl+LU	Aasiannillu
Aasiaat+Sem/Geo+Prop+Lok+Pl	Aasianni
Aasiaat+Sem/Geo+Prop+Lok+Pl+LI	Aasiannili
Aasiaat+Sem/Geo+Prop+Lok+Pl+LU	Aasiannilu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Ind+1Pl	Aasiammiulerigaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Ind+1Sg	Aasiammiulerigaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Ind+3Sg	Aasiammiulerigaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Int+2Sg	Aasiammiulerigaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Par+1Sg	Aasiammiulerigaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Par+2Sg	Aasiammiulerigaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GALUAR+V+Par+3Sg	Aasiammiulerigaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Ind+1Pl	Aasiammiulererusukkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Ind+1Sg	Aasiammiulererusukkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Ind+3Sg	Aasiammiulererusukkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Int+2Sg	Aasiammiulererusukkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Par+1Sg	Aasiammiulererusukkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Par+2Sg	Aasiammiulererusukkaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+GALUAR+V+Par+3Sg	Aasiammiulererusukkaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulererusunngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulererusunngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiulererusunngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Int+2Sg	Aasiammiulererusunngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Par+1Sg	Aasiammiulererusunngikkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Par+2Sg	Aasiammiulererusunngikkaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+GALUAR+V+Par+3Sg	Aasiammiulererusunngikkaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Ind+1Pl	Aasiammiulererusunngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	Aasiammiulererusunngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Aasiammiulererusunngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	Aasiammiulererusunngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+1Sg	Aasiammiulererusunngitsunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+1Sg+LI	Aasiammiulererusunngitsungali
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+1Sg+LU	Aasiammiulererusunngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+2Sg	Aasiammiulererusunngitsutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+2Sg+LI	Aasiammiulererusunngitsutilli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+2Sg+LU	Aasiammiulererusunngitsutillu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+3Sg	Aasiammiulererusunngitsoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+3Sg+LI	Aasiammiulererusunngitsorli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+NNGIT+V+Par+3Sg+LU	Aasiammiulererusunngitsorlu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+1Pl	Aasiammiulererusussagaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+1Sg	Aasiammiulererusussagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+3Sg	Aasiammiulererusussagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Int+2Sg	Aasiammiulererusussagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Par+1Sg	Aasiammiulererusussagaluartunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Par+2Sg	Aasiammiulererusussagaluartutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+GALUAR+V+Par+3Sg	Aasiammiulererusussagaluartoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Ind+1Pl	Aasiammiulererusussaagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Aasiammiulererusussaanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Aasiammiulererusussaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Int+2Sg	Aasiammiulererusussavit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+1Sg	Aasiammiulererusussasunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+1Sg+LI	Aasiammiulererusussasungali
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+1Sg+LU	Aasiammiulererusussasungalu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+2Sg	Aasiammiulererusussasutit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+2Sg+LI	Aasiammiulererusussasutilli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+2Sg+LU	Aasiammiulererusussasutillu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+3Sg	Aasiammiulererusussasoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+3Sg+LI	Aasiammiulererusussasorli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+SSA+V+Par+3Sg+LU	Aasiammiulererusussasorlu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+LIRI+Sem/work+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+1Pl	Aasiammiulererusuttaraluarpugut
